Attraction,Address,Rank,Rating,Number_of_Reviews,Type,Label,Overview
U.S. Space and Rocket Center,1 Tranquility Base| Huntsville| AL 35805-3371,5,4.5,3084,Weekend Getaway,Science Museums,Home to Space Camp| Aviation Challenge and NASA's Official Visitor Information Center for Marshall Space Flight Center; The U.S. Space & Rocket Center is recognized as one of the most comprehensive U.S. manned space flight hardware museums in the...more
Huntsville Botanical Garden,4747 Bob Wallace Ave SW| Huntsville| AL 35805-3390,4,4.5,869,Weekend Getaway,Gardens,The 112-acre Huntsville Botanical Garden is open year-round and contains a diverse ecosystem of meadows| upland and bottomland forest| and wetlands| as well as a variety of specialty gardens and native plant collections. The Mathews Nature Trail...more
Monte Sano State Park,5105 Nolen Ave SE| Huntsville| AL 35801-1029,7,4.5,440,Weekend Getaway,State Parks,Monte Sano State Park
U.S. Veterans Memorial Museum,2060 Airport Rd SW| Huntsville| AL 35801-5338,1,5,334,Weekend Getaway,Military Museums| History Museums,Located in Huntsville Alabama| The U.S. Veterans Memorial Museum is one of the premier military museums in the world. The exhibits of memorabilia| artifacts| and military equipment range from the American Revolutionary War to present day. Included...more
Harmony Park Safari,431 Clouds Cove Rd SE| Huntsville| AL 35803-6513,8,5,483,Weekend Getaway,Nature & Wildlife Areas,Harmony Park Safari
Madison County Nature Trail-Green Mountain,5000 Nature Trail Rd SE| Huntsville| AL 35803-3802,3,4.5,235,Weekend Getaway,Nature & Wildlife Areas,Madison County Nature Trail The Madison County Nature Trail was constructed beginning in 1974 with completion in 1975. The construction was financed jointly by the U.S. Department of Housing and Urban Development and the Madison County Commission....more
Big Spring Park,200 Church St NW| Huntsville| AL 35801-5541,6,4.5,226,Weekend Getaway,Parks,Big Spring Park
Bridge Street Town Centre,365 The Bridge St Suite 106| Huntsville| AL 35806-0025,11,4.5,168,Weekend Getaway,Shopping Malls,Bridge Street Town Centre
Burritt on the Mountain,3101 Burritt Dr SE| Huntsville| AL 35801-1142,9,4.5,185,Weekend Getaway,Historic Sites,Burritt on the Mountain
Von Braun Center,700 Monroe St SW| Huntsville| AL 35801-5579,10,4.5,270,Weekend Getaway,Conference & Convention Centers,The Von Braun Center is a multipurpose facility located in downtown Huntsville| Alabama. It offers multiple venues for presenting cultural| educational| entertainment| sporting and social events. With over 170|000 sqft of flexible meeting space...more
Straight to Ale Taproom,2610 Clinton Ave W| Huntsville| AL 35805-3046,14,4.5,135,Weekend Getaway,Breweries,Straight To Ale is a 45|000 square foot craft brewery with a taproom that serves samples and pints of Straight To Ale beer brewed on site. The Taproom is open Mon-Thurs 11am-10pm| Fri/Sat 311am-11pm| Sun 11am-8pm. Free brewery tours every Saturday...more
Huntsville/Madison County Convention & Visitors Bureau,500 Church St NW| Huntsville| AL 35801-5548,2,5,158,Weekend Getaway,Visitor Centers,MAKE IT YOUR FIRST STOP! While in the Huntsville/Madison area visit one of area Visitor Centers for information| discount attraction| sports| arts & entertainment coupons.
Huntsville Museum of Art,300 Church St SW| Huntsville| AL 35801-4910,16,4.5,116,Weekend Getaway,Art Museums,From Norman Rockwell to Hudson River School Landscapes and everything in between| the Huntsville Museum of Art is a must-see on your next visit to Huntsville! The Huntsville Museum of Art sits in Big Spring Park| the epicenter of the dynamic and...more
Lowe Mill Arts & Entertainment,2211 Seminole Dr SW| Huntsville| AL 35805-3848,12,4.5,165,Weekend Getaway,Art Galleries,Lowe Mill ARTS & Entertainment is America's largest independent center for the arts. With over 120 working artists| small businesses| restaurants| and live performance venues| this huge historic textile mill is now a rising home for music| art|...more
Hays Nature Preserve,US 431 near mile marker 324| Huntsville| AL,21,4.5,34,Weekend Getaway,Nature & Wildlife Areas,Hays Nature Preserve
Earlyworks Museum Complex,404 Madison St SE| Huntsville| AL 35801-4203,19,4,88,Weekend Getaway,Children's Museums,Interactive children's museum focused on teaching about Alabama history.
Huntsville Depot Museum,320 Church St NW| Huntsville| AL 35801-5544,20,4,77,Weekend Getaway,History Museums,During the Civil War| this depot was a prison for captured Confederates and a hospital for the wounded.
Ditto Landing,293 Ditto Landing Rd SE| Huntsville| AL 35803-6047,23,4,55,Weekend Getaway,Points of Interest & Landmarks,Located on the Tennessee River at mile marker 33 selling Fuel or just docking and/or camping. Boat launch| marina| pavilion rentals| security are all available
Land Trust of North Alabama,2707 Artie St SW Ste 6| Huntsville| AL 35805-4769,18,4,44,Weekend Getaway,Nature & Wildlife Areas,Enjoy hiking| biking| picnicking| and horseback riding on 40+ miles of trails offered by Alabama’s first land trust: the Land Trust of North Alabama. Three Nature Preserves - each larger than Central Park and all within Huntsville city limits –...more
Maple Hill Cemetery,Huntsville| AL,13,4,80,Weekend Getaway,Points of Interest & Landmarks| Cemeteries,Maple Hill Cemetery
Huntsville Madison County Veterans Memorial,200 Monroe St NW| Huntsville| AL 35801-4905,15,5,41,Weekend Getaway,Historic Sites| Points of Interest & Landmarks| Monuments & Statues| More,"The Huntsville Veterans Memorial| dedicated on Veterans Day| 11.11.11| honors and pays tribute to all veterans for their ""Courage""| ""Sacrifice""| and ""Duty"". The Memorial has become a hallowed place that inspires visitors to reflect| remember and...more"
Parkway Place,2801 Memorial Pkwy SW| Huntsville| AL 35801-6519,25,4.5,34,Weekend Getaway,Shopping Malls,Parkway Place Mall| located in the Huntsville| AL| area features more than 100 specialty shops including Forever21| Pottery Barn and Chico's. Dining options include Carrabba's and Picadilly Cafeteria.
Alabama Constitution Village,109 Gates Ave SE| Huntsville| AL 35801-4212,22,4.5,78,Weekend Getaway,Historic Sites,A village where people in historic dress take you on a journey through the state's past.
Monte Sano Nature Preserve,2442 Bankhead Pkwy NE| Huntsville| AL 35801,24,4.5,23,Weekend Getaway,Nature & Wildlife Areas,Monte Sano Nature Preserve
Blevins Gap Preserve,2275 Cecil Ashburn Dr SE Blevins Gap Trailhead| Huntsville| AL 35802-2559,28,4.5,13,Weekend Getaway,Nature & Wildlife Areas,Blevins Gap Preserve
Twickenham,Huntsville| AL,17,4.5,74,Weekend Getaway,Neighborhoods,Twickenham
North Alabama Railroad Museum,694 Chase Rd NE| Huntsville| AL 35811-1523,27,4.5,31,Weekend Getaway,Specialty Museums,North Alabama Railroad Museum
Green Bus Brewing,206 Eustis Ave SE| Huntsville| AL 35801-4233,30,4.5,9,Weekend Getaway,Breweries,Green Bus Brewing
The Weeden House Museum and Garden,300 Gates Ave SE| Huntsville| AL 35801-3101,26,4.5,18,Weekend Getaway,Specialty Museums,Built in 1819 (the same year Alabama became a state) the home is not only a source of fine 19th Century furnishings and Federal style architecture| but is also the home of poet and artist Maria Howard Weeden. Howard Weeden was born in the house in...more
Von Braun Astronomical Society,5105 Nolen Ave SE| Huntsville| AL 35801-1029,35,4.5,16,Weekend Getaway,Observatories & Planetariums,Von Braun Astronomical Society
Vermilionville,300 Fisher Rd| Lafayette| LA 70508-2028,3,4.5,802,Weekend Getaway,Historic Walking Areas,Get a taste of life for the 18th-century Acadian settlers in this 23-acre village with meticulously recreated period homes| costumed staff demonstrating arts and crafts and a restaurant serving Cajun and Creole food.
Lake Martin Rookery,Rookary Road| Lafayette| LA 70517,1,4.5,180,Weekend Getaway,Bodies of Water,Lake Martin Rookery
Cathedral of St John the Evangelist,515 Cathedral St| Lafayette| LA 70501-6701,2,4.5,402,Weekend Getaway,Cemeteries| Sacred & Religious Sites,This quasi-Romanesque brick cathedral in Lafayette is worth a look.
Acadian Village,200 Greenleaf Dr| Lafayette| LA 70506-7400,5,4.5,390,Weekend Getaway,Historic Sites| Historic Walking Areas,Step back in time to a small 19th-century Cajun bayou community| which includes genuine Cajun homes relocated and combined with recreated period buildings and a Native American museum.
Lafayette Science Museum,433 Jefferson St| Lafayette| LA 70501-7013,6,4.5,94,Weekend Getaway,Science Museums,The cultural heritage of Southwestern Louisiana is preserved at this combination museum and planetarium| which houses over 1|000 paintings| prints and sculpture of Louisiana artists and regularly changing exhibits and planetarium programs.
Acadian Cultural Center,501 Fisher Rd| Lafayette| LA 70508-2033,4,4.5,215,Weekend Getaway,Educational sites| History Museums,Acadian Cultural Center
Alexandre Mouton House,1122 Lafayette St| Lafayette| LA 70501-6838,12,4.5,34,Weekend Getaway,Historic Sites,Built in 1800 by city founder Jean Mouton| this antebellum home later belonged to Jean's son| Alexandre| first Democratic governor of Louisiana| and now houses antiques| paintings and a collection of Mardi Gras costumes.
Children's Museum of Acadiana,201 E Congress St| Lafayette| LA 70501-6919,9,4.5,60,Weekend Getaway,Children's Museums,Children's Museum of Acadiana
Cajundome & Convention Center,444 Cajundome Blvd| Lafayette| LA 70506-4264,7,4.5,74,Weekend Getaway,Conference & Convention Centers,Cajundome & Convention Center
Evangeline State Park,Lafayette| LA,8,4.5,46,Weekend Getaway,State Parks| Observatories & Planetariums| History Museums,The park grounds include a museum| a Creole plantation and an 18th-century Acadian shack.
Lafayette Farmers and Artisans Market,2913 Johnston St| Lafayette| LA 70503-3245,15,4.5,11,Weekend Getaway,Farmers Markets,Lafayette Farmers and Artisans Market
Acadiana Mall,5725 Johnston St| Lafayette| LA 70503-5307,16,4.5,31,Weekend Getaway,Shopping Malls,Acadiana Mall
Lafayette Convention & Visitors Commission,1400 NW Evangeline Thruway| Lafayette| LA 70501-2829,14,4.5,12,Weekend Getaway,Visitor Centers,Lafayette Convention & Visitors Commission
Acadiana Park Nature Station,1205 E Alexander St| Lafayette| LA 70501-2315,17,4.5,16,Weekend Getaway,Parks,Acadiana Park Nature Station
Paul and Lulu Hilliard University Art Museum,710 East St. Mary St.| Lafayette| LA 70503-2332,13,4.5,42,Weekend Getaway,Art Museums,Paul and Lulu Hilliard University Art Museum
Girard Park Center,500 Girard Park Dr| Lafayette| LA 70503-2623,21,4.5,5,Weekend Getaway,Parks| Playgrounds,Girard Park Center
Sans Souci Fine Crafts Gallery,219 E Vermilion St| Lafayette| LA 70501-6931,11,4.5,26,Weekend Getaway,Art Galleries,Sans Souci Fine Crafts Gallery
The Acadiana Center for the Arts,corner of Vermilion and Jefferson streets| Lafayette| LA,10,4.5,33,Weekend Getaway,Theaters,The Acadiana Center for the Arts
Jump Zone,2416 Ambassador Caffery Pkwy| Lafayette| LA 70506-5026,20,4.5,22,Weekend Getaway,Playgrounds,Jump Zone
Louisiana Airborne Memorial Bridge and Monument,Atchafalaya Welcome Center On Interstate-10 at the Butte La Rose Exit 121| Lafayette| LA 70517,19,4.5,8,Weekend Getaway,Points of Interest & Landmarks| Bridges| Monuments & Statues,Louisiana Airborne Memorial Bridge and Monument
Heymann Performing Arts & Convention Center,1373 S College Rd| Lafayette| LA 70503-2909,18,4.5,10,Weekend Getaway,Conference & Convention Centers,Heymann Performing Arts & Convention Center
Play and Learn With Me,3554 W Pinhook Rd Suite M| Lafayette| LA 70508-3607,27,4.5,1,Weekend Getaway,Playgrounds,We offer Mommy and Me classes| open play in our indoor playground| Mother's Day Out| special birthday parties| Parent's Date Night| Play and Learn With Me will be your partners in Play| Party Learning and Fun. Play and Learn With Me also offers...more
Lafayette Art Gallery,1008 E Saint Mary Blvd| Lafayette| LA 70503-2346,24,4.5,3,Weekend Getaway,Art Galleries,Over 50 years in the Acadiana community. Art of all type by local artists: painting| ceramics| wood| jewelry| mixed media & sculpture.
Azalea Trail,1020 Auburn Ave| Lafayette| LA 70503-2308,29,4.5,1,Weekend Getaway,Historic Walking Areas,Scenic Lafayette Historic Azalea Trail. A floral splendor in spring of Grand Azalea Boulevards| Drive & Bike Trail| Historic Sites and Neighborhoods| Shops| Arts & Culture Music| Great Restaurants and Museums. Annual Spring Event Classic Car...more
Lafayette Jockey Lot Flea Market,3011 NW Evangeline Trwy| Lafayette| LA 70507-3424,28,4.5,2,Weekend Getaway,Flea & Street Markets,Lafayette Jockey Lot is open rain or shine| every Saturday and Sunday 8 am - 5pm| with hundreds of vendors featuring| collectibles| clothing| antiques| leather goods| home decor| plants| sporting memorabilia| furniture and much more. Bring the...more
Urns of Justice,800 Lafayette St in front of John M. Shaw US Courthouse| Lafayette| LA 70501-6800,23,4.5,7,Weekend Getaway,Monuments & Statues,Urns of Justice
Rank Wildcat Spirits,619 Bonin Rd| Lafayette| LA 70508-4415,22,4.5,2,Weekend Getaway,Distilleries,Rank Wildcat Spirits
Eunice Museum,Lafayette| LA,26,4.5,4,Weekend Getaway,Specialty Museums,Free museum located in a converted train depot| which offers an eclectic collection of Cajun music artifacts| a railroad caboose| old Mardi Gras displays and much more.
Cites des Arts,109 Vine St| Lafayette| LA 70501-7043,25,4.5,4,Weekend Getaway,Civic Centers,Cites des Arts
Cajun Food Tours,109 Vine St| Lafayette| LA 70501-7043,1,4.5,689,Weekend Getaway,Civic Centers,Cajun Food Tours
Falls Park on the Reedy,601 S Main St| Greenville| SC 29601-2504,1,4.5,4257,Weekend Getaway,Parks| Waterfalls,Falls Park on the Reedy
GHS Swamp Rabbit Trail,Greenville| SC,4,4.5,705,Weekend Getaway,Biking Trails,GHS Swamp Rabbit Trail
The Peace Center,300 S Main St| Greenville| SC 29601-2606,3,5,741,Weekend Getaway,Theaters,The not-for-profit Peace Center is the premier venue for live entertainment in South Carolina.
Liberty Bridge,1 Liberty Bridge| Greenville| SC,2,5,340,Weekend Getaway,Bridges,Liberty Bridge
Fluor Field at the WestEnd,Main Street and Augusta Road| Greenville| SC 29601,5,5,769,Weekend Getaway,Arenas & Stadiums,Fluor Field at the WestEnd
Paris Mountain State Park,2401 State Park Rd| Greenville| SC 29609-6743,9,5,413,Weekend Getaway,Parks,Paris Mountain State Park
The Children's Museum of the Upstate,300 College St| Greenville| SC 29601-2015,7,4.5,364,Weekend Getaway,Children's Museums,80|000 Square feet of fun! The Children's Museum of the Upstate is 7th largest children's museum in the country and only children's museum that is a Smithsonian Affiliate. Conveniently located in the heart of downtown Greenville on the cultural...more
Poinsett Bridge,Little Gap Creek| Greenville| SC 29690,8,4.5,204,Weekend Getaway,Bridges,Poinsett Bridge
Bon Secours Wellness Arena,650 N Academy St| Greenville| SC 29601-2246,12,4.5,379,Weekend Getaway,Arenas & Stadiums| Civic Centers,Bon Secours Wellness Arena
Runway Park at GMU,21 Airport Road Ext| Greenville| SC 29607-2633,6,4.5,143,Weekend Getaway,Parks| Playgrounds,"The Greenville Downtown Airport's Runway Park at GMU| which is free to use and open to the public during daylight hours| has an educational amphitheater| exercise ""Perimeter Taxiway"" and walking ""Runways""| as well as aviation themed playground...more"
Sarah P. Duke Gardens,426 Anderson St Box 90341| Durham| NC 27708-0341,1,4.5,2153,Weekend Getaway,Gardens,Sarah P. Duke Gardens
Museum of Life + Science,433 W Murray Ave| Durham| NC 27704-3101,5,4.5,903,Weekend Getaway,Specialty Museums| Science Museums| Children's Museums,The Museum of Life and Science is one of North Carolina’s top attractions. Situated on 84-acres| our interactive science park includes a science center| a butterfly conservatory which is one of the largest in the world and beautifully-landscaped...more
Duke University,Durham| NC,4,4.5,646,Weekend Getaway,Educational sites,Duke University
Duke University Chapel,401 Chapel Dr West Campus| Durham| NC 27708-9984,3,5,999,Weekend Getaway,Sacred & Religious Sites,Located on Duke University's West Campus| Duke Chapel is as magnificent in structure as it is rich in ministry. Construction of the Chapel was begun in October of 1930 and completed two years later. During that time students continually...more
Durham Bulls Athletic Park,409 Blackwell St| Durham| NC 27701-3972,7,5,953,Weekend Getaway,Arenas & Stadiums,Durham Bulls Athletic Park
Cameron Indoor Stadium,301 Whitford DR| Durham| NC 27708-0001,2,5,301,Weekend Getaway,Arenas & Stadiums,Cameron Indoor Stadium
DPAC - Durham Performing Arts Center,123 Vivian St American Tobacco District| Durham| NC 27701-3637,6,5,1362,Weekend Getaway,Theaters,Since its opening in 2008| DPAC has become the center for live entertainment in North Carolina. Recognized for its contemporary design| DPAC features 2|700 seats| intimate sight lines and state-of-the art sound and video. Listed eight times in the...more
Duke Lemur Center,3705 Erwin Rd| Durham| NC 27705-5031,8,5,359,Weekend Getaway,Nature & Wildlife Areas,Duke Lemur Center
Eno River State Park,6101 Cole Mill Rd North Metro| Durham| NC 27705-9275,10,5,256,Weekend Getaway,State Parks,Eno River State Park
American Tobacco Historic District,318 Blackwell St| Durham| NC 27701-2883,11,5,348,Weekend Getaway,Points of Interest & Landmarks,American Tobacco Historic District
Bennett Place Historic Site,4409 Bennett Memorial Rd| Durham| NC 27705-2307,9,5,217,Weekend Getaway,Historic Sites,Bennett Place Historic Site
Streets at Southpoint,6910 Fayetteville Rd| Durham| NC 27713-9714,12,5,145,Weekend Getaway,Shopping Malls,Streets at Southpoint
Carolina Theatre,309 W Morgan St| Durham| NC 27701-2119,14,5,166,Weekend Getaway,Theaters,Carolina Theatre
Duke Homestead,2828 Duke Homestead Rd| Durham| NC 27705-2726,13,4.5,164,Weekend Getaway,Historic Sites,At Duke Homestead| visitors can tour the early home| factories| and farm where Washington Duke first grew and processed tobacco. Duke's sons later founded The American Tobacco Company| the largest tobacco company in the world. The Dukes became one...more
Wallace Wade Stadium,110 Frank Basset DR| Durham| NC 27708-0001,20,4.5,49,Weekend Getaway,Arenas & Stadiums,Wallace Wade Stadium
Stagville State Historic Site,5828 Old Oxford Rd| Durham| NC 27712-9758,16,4.5,116,Weekend Getaway,Historic Sites,Stagville is the site of the largest antebellum plantation complex in North Carolina. By 1860| this lands| owned by the Bennehan and Cameron families| spread out over 30|000 acres (47 sq. miles) and was home to over 900 enslaved people. Our goal...more
Nasher Museum of Art at Duke University,2001 Campus Dr| Durham| NC 27705-1003,15,4.5,236,Weekend Getaway,Art Museums,Nasher Museum of Art at Duke University
Brightleaf Square,905 W Main St| Durham| NC 27701-2054,17,4.5,187,Weekend Getaway,Historic Walking Areas| Shopping Malls,Brightleaf Square
Bull City Ciderworks,305 S Roxboro St| Durham| NC 27701-3867,19,4.5,43,Weekend Getaway,Breweries,The BULL doesn't play by the rules. Hard cider doesn't have to be sickeningly sweet and taste artificial. Our ciders are made with 100% apple juice and never back-sweetened with high fructose corn syrup| so you taste the apple in all its glory!...more
Durham Distillery,711 Washington St| Durham| NC 27701-2147,21,5,20,Weekend Getaway,Distilleries,Since its inception| Durham Distillery has been rethinking how to make great spirits that both embody and pioneer the New South. The answer: equal parts art and science. The result: world-class gins and liqueurs that put the New South on the map...more
Pedego Electric Bikes,8200 Renaissance Pkwy #1005| Durham| NC 27713-7747,1,5,34,Weekend Getaway,Gear Rentals,"Riding Pedego Triangle electric bikes is one of the few remaining socially distanced ""sanctioned"" activities in today's environment. Electric bikes accommodate all athletic abilities| making it easy for small groups to stay together touring the...more"
West Point on the Eno,5101 N Roxboro St | North Metro| Durham| NC 27704-1419,18,5,66,Weekend Getaway,Parks,West Point on the Eno
Honeygirl Meadery,105 Hood St Ste 6| Durham| NC 27701-3794,25,5,16,Weekend Getaway,Wineries & Vineyards| Other Food & Drink,Honeygirl Meadery is a small urban meadery located in downtown Durham NC. We ferment with local and global true source honey| and local fruits| flowers and herbs| to make artisanal meads (honey-wines). Visitors can enjoy a mead tasting| flight or...more
Al Buehler Hiking Trails,Cameron Blvd| Durham| NC 27705,30,5,9,Weekend Getaway,Hiking Trails,Al Buehler Hiking Trails
RollingView Falls Lake State Park,4201 Baptist Rd| Durham| NC,26,5,29,Weekend Getaway,State Parks| Parks,RollingView Falls Lake State Park
Durham Central Park,501 Foster St| Durham| NC 27701-2106,22,5,34,Weekend Getaway,Parks| Gardens| Playgrounds,Durham Central Park is a 5-acre city-owned park that is operated by Durham Central Park| Inc. a 501c3 non-profit organization. DCP Inc. holds a management agreement with the City of Durham to manage| develop and sustain this unique urban oasis....more
Waller Family Farm,5030 Kerley Rd| Durham| NC 27705-7117,24,5,15,Weekend Getaway,Farms,Waller Family Farm
Durham Farmers' Market,501 Foster St In the Pavilion at Durham Central Park| Durham| NC 27701-2106,23,5,18,Weekend Getaway,Farmers Markets,Durham Farmers' Market
Mystic Distillery and Farm,1212 N Mineral Springs Rd| Durham| NC 27703-2717,29,5,9,Weekend Getaway,Distilleries,Mystic Distillery and Farm
Historic Durham Athletic Park,500 W Corporation St| Durham| NC 27701,27,5,20,Weekend Getaway,Points of Interest & Landmarks| Parks,Historic Durham Athletic Park
Pinnacle Mountain State Park,11901 Pinnacle Valley Rd| Little Rock| AR 72223-5173,3,4.5,475,Weekend Getaway,State Parks| Nature & Wildlife Areas,Opened in 1977| the Pinnacle Mountain State Park serves as a center for education| recreation and preservation.
Little Rock Central High School National Historic Site,1500 S Park St| Little Rock| AR 72202-5843,1,4.5,1183,Weekend Getaway,Historic Sites| History Museums,This National Park Service site encompasses the campus| but Central High is still an active high school. Visitors should park and begin their visit at the National Park Visitor Center| located diagonally across from the campus| at 2120 W. Daisy...more
Big Dam Bridge,7600 Rebsamen Park Rd| Little Rock| AR 72207-1616,6,4.5,805,Weekend Getaway,Bridges,Big Dam Bridge
William J. Clinton Presidential Library,River Market District 1200 President Clinton Avenue| Little Rock| AR,13,4.5,2552,Weekend Getaway,Historic Sites| Architectural Buildings| Libraries,The William J. Clinton Presidential Center and Park| located on the banks of the Arkansas River in Little Rock| Arkansas| attracts hundreds of thousands of visitors from around the world to its grounds each year. Opened in 2004| the Center is home...more
Riverfront Park,1 Riverfront Drive| Little Rock| AR 72201,8,4.5,599,Weekend Getaway,Parks,Riverfront Park
Rock Town Distillery,1201 Main St| Little Rock| AR 72202-5031,2,4.5,224,Weekend Getaway,Distilleries,Arkansas' first legal distillery since prohibition. Distiller of award winning hand crafted spirits. Tours six days a week. See our website for times and reservations.
Museum Of Discovery,500 President Clinton Ave| Little Rock| AR 72201-1756,7,4.5,335,Weekend Getaway,Science Museums| History Museums,Museum Of Discovery
Arkansas State Capitol,Woodlane & Capitol Avenue| Little Rock| AR 72201,10,4.5,475,Weekend Getaway,Government Buildings,Visitors can tour this government building that sits on a knoll| overlooking downtown to the east and the Arkansas river to the north| and bears a striking resemblance to the U.S. Capitol building.
River Market District,E. Markham St.| Little Rock| AR 72201-1638,14,4,652,Weekend Getaway,Piers & Boardwalks| Flea & Street Markets,Taste your way through this year-round| indoor market encompassing 10|000 square feet of owner-operated shops| stalls and tables that sell food and unique products.
Esse Purse Museum & Store,1510 Main St| Little Rock| AR 72202-5038,4,4.5,211,Weekend Getaway,Specialty Museums,Dedicated purse museums in the world are rare jewels of history: Amsterdam| Seoul and Little Rock claim the distinction of being home to the three brick-and-mortar galleries in existence. ESSE Purse Museum at 1510 Main in the SoMa district of...more
Turpentine Creek Wildlife Refuge,239 Turpentine Creek Ln| Eureka Springs| AR 72632-9185,3,4.5,2306,Weekend Getaway,Nature & Wildlife Areas,Turpentine Creek Wildlife Refuge is one of the largest big cat sanctuaries in the United States. The non-profit USDA licensed refuge| founded in 1992| has grown to become one of the Top 10 attractions in Arkansas and the most popular in Eureka...more
Thorncrown Chapel,12968 Highway 62 W| Eureka Springs| AR 72632-9301,2,4.5,3456,Weekend Getaway,Sacred & Religious Sites,This chapel won an architecture award in 1980.
Christ of the Ozarks,935 Passion Play Rd| Eureka Springs| AR 72632-9496,4,4.5,1537,Weekend Getaway,Monuments & Statues,Built in 1967| this 7-story memorial statue of Jesus is on the grounds of The Great Passion Play and overlooks Eureka Springs| Arkansas.
Beaver Lake,4022 Mundell Rd| Eureka Springs| AR 72631-8911,6,4.5,688,Weekend Getaway,Bodies of Water,Popular lake for swimming.
St. Elizabeth's Catholic Church,30 Crescent Dr Historic Loop| Eureka Springs| AR 72632-3037,5,4.5,653,Weekend Getaway,Sacred & Religious Sites,St. Elizabeth's Catholic Church
Eureka Springs Historical Downtown,Eureka Springs| AR 72632,7,4.5,717,Weekend Getaway,Neighborhoods,Eureka Springs Historical Downtown
Intrigue Theater,80 Mountain St| Eureka Springs| AR 72632-3315,1,5,668,Weekend Getaway,Theaters,Now in our 10th Must See Season in Eureka Springs| AR. Sean-Paul and Juliana Fay have been seen on National TV shows like Penn & Teller Fool Us| Masters of Illusion| and America's Got Talent. They have also performed at the Magic Castle in...more
Blue Spring Heritage Center,1537 Co Rd 210| Eureka Springs| AR 72632-9418,8,4.5,420,Weekend Getaway,Nature & Wildlife Areas,Botanical Gardens on the beautiful White River and a stop on the Trail of Tears. 39 million gallon a day bottomless spring. Museum| and two short very informative films Bluff Shelter listed on the national register of historic places
Eureka Springs & North Arkansas Railway,1537 Co Rd 210| Eureka Springs| AR 72632-9418,14,4.5,524,Weekend Getaway,Nature & Wildlife Areas,Eureka Springs & North Arkansas Railway
Basin Spring Park,3 Spring St Next to Basin Park Hotel| Eureka Springs| AR 72632-3104,9,4.5,192,Weekend Getaway,Parks,Basin Spring Park
Anna Ruby Falls,3455 Anna Ruby Falls Rd| Helen| GA 30545-2333,1,4.5,2672,Weekend Getaway,Waterfalls,Anna Ruby Falls
Unicoi State Park,1788 Highway 356| Helen| GA 30545-2326,5,4.5,865,Weekend Getaway,State Parks,Unicoi State Park
Dukes Creek Falls Trail,Russell Scenic Highway Tree houses| Helen| GA,2,4.5,374,Weekend Getaway,Hiking Trails,Dukes Creek Falls Trail
Chattahoochee River,Helen| GA,4,4.5,427,Weekend Getaway,Bodies of Water,Chattahoochee River
