Attraction,Address,Rank,Rating,Number_of_Reviews,Type,Label,Overview,
Hidden Treasures Flea Market Mall,405 N Main St| Ellensburg| WA 98926-3107,14,4.5,3,Romantic,Antique Stores| Flea & Street Markets,Hidden Treasures Flea Market Mall,
Thrall & Dodge Winery,111 Dodge Rd| Ellensburg| WA 98926-8452,13,4.5,3,Romantic,Wineries & Vineyards,Thrall & Dodge Winery,
Red's Fly Shop - Day Tours,111 Dodge Rd| Ellensburg| WA 98926-8452,1,4.5,50,Romantic,Wineries & Vineyards,Red's Fly Shop - Day Tours,
Ellensburg Angler,111 Dodge Rd| Ellensburg| WA 98926-8452,2,4.5,11,Romantic,Wineries & Vineyards,Ellensburg Angler,
The Tav,117 W 4th Ave| Ellensburg| WA 98926-3127,1,4.5,17,Romantic,Bars & Clubs,The Tav,
Gallery One Visual Art Center,408 N Pearl St| Ellensburg| WA 98926-3112,1,4.5,7,Romantic,Gift & Specialty Shops,Gallery One Visual Art Center,
Brix Elevage Wine Co,109 W 3rd Ave| Ellensburg| WA 98926-4018,2,4.5,18,Romantic,Bars & Clubs,Brix Elevage Wine Co,
Devine Wellness and Relaxation,1206 N Dolarway Rd Suite 211| Ellensburg| WA 98926-8392,1,4.5,2,Romantic,Spas,Our goal at Devine Wellness and Relaxation is to provide you with the highest quality in massage and bodywork modalities for maximum results and relaxation. We use all natural products and offer online scheduling. We are open on Saturday!,
Ellensburg Agate & Bead Shop,201 S Main St| Ellensburg| WA 98926-3609,2,4.5,3,Romantic,Gift & Specialty Shops,Ellensburg Agate & Bead Shop,
Kinship Trail Rides,7255 Number 6 Rd| Ellensburg| WA 98926-9240,4,4.5,2,Romantic,Horseback Riding Tours,"Kinship Trail Rides was forged on one simple idea and that was ""Creating your own horseback riding experience."" We provide guided trail rides within Yakima and Kittitas County with the top of the line stock| and each horse is carefully picked out...more",
Shooters 2.0 ellensburg,104 W 5th Ave| Ellensburg| WA 98926-3102,3,4.5,3,Romantic,Bars & Clubs,Shooters 2.0 ellensburg,
Dark Moon Craft Beer,420 N Pearl St| Ellensburg| WA 98926-3112,4,4.5,2,Romantic,Bars & Clubs,Dark Moon Craft Beer,
Worley Bugger Fly Co,420 N Pearl St| Ellensburg| WA 98926-3112,3,4.5,1,Romantic,Bars & Clubs,Worley Bugger Fly Co,
Yakima River Tubing,420 N Pearl St| Ellensburg| WA 98926-3112,4,4.5,18,Romantic,Bars & Clubs,Yakima River Tubing,
Bleachers,730 E University Way| Ellensburg| WA 98926-2947,5,4.5,1,Romantic,Bars & Clubs,Bleachers,
Ellensburg Golf & Country Club,3231 S Thorp Hwy| Ellensburg| WA 98926-8034,7,4.5,3,Romantic,Golf Courses,Ellensburg Golf & Country Club,
High Society Transportation LLC,3231 S Thorp Hwy| Ellensburg| WA 98926-8034,1,4.5,3,Romantic,Taxis & Shuttles,High Society Transportation LLC,
Wind River Gifts,1714 S Canyon Rd| Ellensburg| WA 98926-9739,4,4.5,3,Romantic,Gift & Specialty Shops,Wind River Gifts,
Dry Creek Vineyard,3770 Lambert Bridge Rd| Healdsburg| CA 95448-9713,8,5,783,Romantic,Wineries & Vineyards,Award Winning Family Owned Winery: beautiful picnic grounds| tasting room| private tastings| free Wi-Fi| a wide selection of wines including rare single-vineyard wines. David Stare founded Dry Creek Vineyard in 1972. Winemaking emphasis is on...more,
Alexander Valley Vineyards,8644 Highway 128| Healdsburg| CA 95448-9021,3,5,333,Romantic,Wineries & Vineyards,Experience our historic property and taste award winning wines at our family owned estate winery located in Northern Sonoma County. Our Tasting Room is open by advance reservation daily with Seated Outdoor Tastings: Estate Tasting $10 or a Reserve...more,
Ferrari-Carano Winery,8761 Dry Creek Rd| Healdsburg| CA 95448-9133,13,4.5,512,Romantic,Wineries & Vineyards,Ferrari-Carano| located in picturesque Dry Creek Valley| Sonoma County| is home to world-class wines| five acres of award-winning gardens and breathtaking vineyard views. Taste Classic Wines in the Villa Fiore Wine Shop or taste Reserve Wines in...more,
Gary Farrell Winery,10701 Westside Rd| Healdsburg| CA 95448-8355,4,5,778,Romantic,Wineries & Vineyards,Open By Appointment Only. In the heart of the beautiful Russian River Valley| Gary Farrell Vineyards & Winery offers a proud 35-year winemaking history and a unique sense of place. Perched atop a ridge along winding Westside Road| the winery...more,
Gracianna Winery,6914 Westside Road| Healdsburg| CA 95448-8354,1,5,621,Romantic,Wineries & Vineyards,Gracianna Winery is a family-owned business that symbolizes everyday gratitudes and graciousness in entertaining because our belief is that hosting a special meal with friends and family is an everlasting circle that fills all our lives. Visit our...more,
Jordan Vineyard & Winery,1474 Alexander Valley Rd| Healdsburg| CA 95448-9003,7,5,263,Romantic,Wineries & Vineyards,Tucked into the hills of Sonoma County's Alexander Valley| Jordan Vineyard & Winery welcomes guests by appointment for four unique tours and tastings. From perennial gourmet wine tastings with food pairing in our cellar room and walking tours...more,
Healdsburg Plaza,Healdsburg| California Plaza| Healdsburg| CA,11,5,523,Romantic,Points of Interest & Landmarks,Healdsburg Plaza,
Sapphire Hill Winery,55 Front St| Healdsburg| CA 95448-4437,2,5,203,Romantic,Wineries & Vineyards,SAPPHIRE HILL WINERY AND TASTING ROOM| IN THE HEART OF SONOMA WINE COUNTRY| HEALDSBURG CALIFORNIA. Small lot producers of Dry Gewurztraminer| Chardonnay| Pinot Noir| Zinfandel| Cabernet| Cabernet Franc| Petite Sirah| Merlot and specialty Blends...more,
J Vineyards & Winery,11447 Old Redwood Hwy| Healdsburg| CA 95448-9523,18,4.5,225,Romantic,Wineries & Vineyards,Renowned for our inspiring wine tasting experience| we encourage you to join us at the sleek J Visitor Center to experience our Russian River Valley wines. Taste a range of sparkling and varietal selections - from Brut Rose to Pinot Noir - while...more,
MacRostie Winery and Vineyards,4605 Westside Rd| Healdsburg| CA 95448-9362,10,5,143,Romantic,Wineries & Vineyards,"The MacRostie Estate House is OPEN Thursday-Monday| 10am-4pm| for to go sales and order pick-up| but temporarily closed for onsite tastings. Our online shop is always open and we would love for you to consider supporting MacRostie and all of your...more
Attraction,Address,Rank,Rating,Number_of_Reviews,Label,Overview
Pioneer Park,940 E Alder St| Walla Walla| WA 99362-2404,1,5,130,Nature & Wildlife Areas| Gardens,Pioneer Park
Walla Walla Vintners,225 Vineyard Ln| Walla Walla| WA 99362-8404,4,5,97,Wineries & Vineyards,Walla Walla Vintners has been making premium red wines since 1995. We're open Wednesday - Sunday 10am - 5pm and by appointment Monday and Tuesday.
Fort Walla Walla Museum,755 NE Myra Rd| Walla Walla| WA 99362-8035,2,4.5,302,History Museums,Fort Walla Walla Museum is a walking museum located on 17 acres| and is a must-see for visitors. As the primary caretaker of the cultural and historical heritage of the Walla Walla Valley| the Museum features four large exhibit halls housing...more
Basel Cellars Estate Winery,2901 Old Milton Hwy| Walla Walla| WA 99362-7156,7,4.5,105,Wineries & Vineyards,Basel Cellars Estate Winery
Whitman College,345 Boyer Ave| Walla Walla| WA 99362-2083,5,4.5,87,Points of Interest & Landmarks,Whitman College
Whitman Mission,12 U.S Route| Walla Walla| WA,3,4.5,291,History Museums,This National Historic Site marks the location of the Waiilatpu Mission| a Presbyterian mission ministering to the Cayuse Indians from 1836 to 1847. The mission| a way station for Oregon Trail pioneers| ended tragically with the killing of...more
Pepper Bridge Winery,1704 J B George Rd| Walla Walla| WA 99362-7132,14,4.5,72,Wineries & Vineyards,World-class red wines from two estate vineyards| Pepper Bridge Vineyard and Seven Hills Vineyard.
Northstar Winery,1736 J B George Rd| Walla Walla| WA 99362-7132,10,4.5,70,Wineries & Vineyards,The Northstar Walla Walla Tasting room is now open for outdoor wine tastings by advanced reservation Thursday – Sunday. We will be offering our Winemaker Select Flight as well as seasonal lunch offerings from Chef Penny Addison.
Va Piano Vineyards,1793 J B George Rd| Walla Walla| WA 99362-7132,19,4.5,45,Wineries & Vineyards,An ultra-premium boutique winery located in Walla Walla| Washington focusing on Cabernet Sauvignon| Syrah| Merlot| Cabernet Franc| Malbec| Sauvignon Blanc and Rose.
Dunham Cellars,150 E Boeing Ave| Walla Walla| WA 99362-7400,6,4.5,77,Wineries & Vineyards,For over 25 years| Dunham Cellars has strived for excellence from vineyard to bottle| sourcing fruit from several renowned estate vineyards in prime locations around the Walla Walla and Columbia Valley appellations. With a strong heritage and a...more
Amavi Cellars,3796 Peppers Bridge Rd| Walla Walla| WA 99362-7007,11,4.5,92,Wineries & Vineyards,A small| estate winery featuring Syrah| Cabernet Sauvignon| Semmillon| and Cabernet Franc Rose. We specialize in 100% estate wines for under $30.
Kirkman House Museum,214 N Colville St| Walla Walla| WA 99362-1917,8,4.5,62,History Museums,We are currently on Winter hours. Visit one of Walla Walla's oldest mansions and learn how a young textile salesman from England made his fortune in Americas Wild West. William Kirkman became a pillar of the community and completed this grand home...more
Saviah Cellars,1979 J B George Rd| Walla Walla| WA 99362-7134,9,4.5,58,Wineries & Vineyards,Saviah Cellars
Seven Hills Winery,212 N 3rd Ave| Walla Walla| WA 99362-1883,17,4.5,47,Wineries & Vineyards,Focusing on varietal red wine made from the grapes of eastern Washington State| this winery and its tasting rooms are housed in the historic Whitehouse-Crawford building.
Waterbrook Winery,10518 W Highway 12| Walla Walla| WA 99362-6279,13,4,113,Wineries & Vineyards,With panoramic views of the sprawling grounds| large ponds and picturesque Blue Mountains| visitors can relax on the patio with a glass of award-winning wine and enjoy the tranquil surroundings. Inside| guests are greeted by Waterbrook's expert...more
Gramercy Cellars,635 N 13th Ave| Walla Walla| WA 99362-1769,23,4.5,36,Wineries & Vineyards,Tasting Room Hours: Tuesday - Friday: By appointment. Saturday: 11 - 5pm. Closed Sunday's & Monday's.
Tranche Cellars,705 Berney Dr| Walla Walla| WA 99362-8475,35,4.5,21,Wineries & Vineyards,Tasting room hours: Friday and Saturday from 11am-5pm or by appointment. Tranche is a French term meaning Slice"". To us| it means that and much more. The Tranche wines are a further expression of our abiding curiosity about wine. Its several...more",
Kontos Cellars,10 N 2nd Ave| Walla Walla| WA 99362-1802,32,4.5,37,Romantic,Wineries & Vineyards,Born from six generations in the Walla Walla Valley we focus on producing exceptional 100% Bordeaux varietials with some Syrah and the occasional bubbles. With a great entertainment space and charming patio| we focus on direct to consumer sales...more,
Rooks Park,Rooks Park Rd| Walla Walla| WA 99362,18,4.5,48,Romantic,Parks,Rooks Park,
Browne Family Vineyards,31 E Main St| Walla Walla| WA 99362-1921,21,4.5,31,Romantic,Points of Interest & Landmarks,Browne Family Vineyards,
Frenchtown Historic Site,8364 Old Highway 12| Walla Walla| WA| Walla Walla| WA 99362,43,4.5,25,Romantic,Historic Sites| Points of Interest & Landmarks| Battlefields| More,The Frenchtown Historic site lies within the original homeland of the Walla Walla and Cayuse Tribes. French-Canadian voyageurs settled here with their Métis families beginning in 1823. In 1855| the area was also the site of the Battle of Walla...more,
Charles Smith Wines,35 S Spokane St| Walla Walla| WA 99362-1930,30,4.5,28,Romantic,Wineries & Vineyards,Charles Smith Wines,
Spring Valley Vineyard Tasting Room,2 E Rose St| Walla Walla| WA 99362-1802,33,4.5,21,Romantic,Wineries & Vineyards,The Spring Valley Vineyard downtown Walla Walla tasting room is open daily for inside and outside wine tastings as well as carryout wine sales and curbside pickup.,
Walla Walla Valley Farmers Market,North 4th Avenue| Walla Walla| WA 99362,34,4.5,25,Romantic,Flea & Street Markets,Walla Walla Valley Farmers Market,
Three Rivers Winery,5641 Old Highway 12| Walla Walla| WA 99362-6263,29,4.5,53,Romantic,Wineries & Vineyards,Tour the barrel rooms and cellar of this lovely winery with stunning views of surrounding vineyards| Mill Creek and the distant Blue Mountains| and try your hand at three short holes of golf.,
Balboa Winery,4169 Peppers Bridge Rd| Walla Walla| WA 99362-7135,36,4.5,23,Romantic,Wineries & Vineyards,Working hand-in-hand with the grape grower| we strive to create exceptional wines that are true to the varietal| terroir and vintage.,
Castillo de Feliciana,85728 Telephone Pole Rd| Walla Walla| WA 97862-7637,27,4.5,19,Romantic,Wineries & Vineyards,Castillo de Feliciana,
Reininger Winery,5858 Old Highway 12| Walla Walla| WA 99362-7291,16,4.5,60,Romantic,Wineries & Vineyards,REININGER Winery| located in the heart of the Walla Walla Valley| specializes in crafting elegant and finely structured red wines from hand-harvested| ultra premium grapes. From our first release in 1997| REININGER wines have possessed a unique...more,
Valdemar Estates,3808 Rolling Hills Ln| Walla Walla| WA 99362-5515,24,5,16,Romantic,Wineries & Vineyards,Enjoy both our Spanish and Washington wines| perfectly paired with traditional tapas dishes in our restaurant| and enjoy beautiful views of the Blue Mountains and the Walla Walla Valley. We offer tours of the winery| as well. Reservations required...more,
Mark Ryan Winery,26 E Main St Ste 1| Walla Walla| WA 99362-1957,28,5,26,Romantic,Wineries & Vineyards,Mark Ryan Winery,
Farmers Market,Higuera Street| San Luis Obispo| CA,2,4.5,350,Romantic,Flea & Street Markets,Every Thursday night through out the year| the city hosts a delightful outdoor market/festival where local farmers sell the freshest fruits| vegetables and produce while local musicians and performers entertain the crowds.,
Highway 1 Discovery Route,Highway 1| San Luis Obispo| CA,1,5,156,Romantic,Scenic Drives,Roam this 101-mile stretch of Highway 1 in San Luis Obispo County (SLO CAL) where you'll find 10 uncrowded beaches| 12 state parks| Hearst Castle| three bountiful wine regions| farm-to-table cuisine| and unique wildlife habitats. Wherever you roam...more,
Avila Valley Barn,560 Avila Beach Dr| San Luis Obispo| CA 93405-8047,5,5,441,Romantic,Farms,Avila Valley Barn,
Bishop Peak,Patricia Drive| San Luis Obispo| CA 93405,3,4.5,237,Romantic,Lookouts| Geologic Formations,Named because it resembles a bishop's hat| the highest peak of the Morros range is heavily used by hikers and bicyclists. The climb to the top will take anywhere from one to two hours depending on your fitness level.,
Mission San Luis Obispo de Tolosa,751 Palm St| San Luis Obispo| CA 93401-3521,6,4.5,679,Romantic,Missions,Founded on September 1| 1772| this is considered one of the most beautiful missions in California and still serves as an active church in the community.,
Sunset Drive-In Theatre,255 Elks Ln| San Luis Obispo| CA 93401-5410,8,4.5,106,Romantic,Theaters,Sunset Drive-In Theatre,
California Polytechnic University,1 Grand Ave| San Luis Obispo| CA 93407-9000,4,4.5,273,Romantic,Educational sites,California Polytechnic University,
Bubblegum Alley,735 Higuera St| San Luis Obispo| CA 93401-3512,22,3.5,914,Romantic,Neighborhoods| Points of Interest & Landmarks,"Want a piece of ABC gum? Head to this fascinating| if somewhat unsanitary| walkway that features walls covered with gum of the ""already been chewed"" variety.",
Kelsey See Canyon Vineyards,1947 See Canyon Rd| San Luis Obispo| CA 93405-8023,11,4.5,109,Romantic,Wineries & Vineyards,We are a family owned winery known for our award winning wines| our beautiful creek side views| and being both family and dog friendly. Visit us with a camera and take advantage of the 130+ peacocks that roam the property and love to eat out of...more,
Edna Valley Vineyard,2585 Biddle Ranch Rd| San Luis Obispo| CA 93401-8319,14,4.5,103,Romantic,Wineries & Vineyards,Edna Valley Vineyard,
Astoria Column,1 Coxcomb Drive| Astoria| OR 97103,1,4.5,2615,Romantic,Nature & Wildlife Areas| Monuments & Statues,A 125-foot column which sits atop of Coxcomb Hill overlooking Astoria.,
Astoria-Megler Bridge,West Marine Drive| Astoria| OR 97103,2,4.5,1020,Romantic,Bridges,Astoria-Megler Bridge,
Fort Stevens State Park,Astoria| OR,6,4.5,1083,Romantic,State Parks,Fort Stevens State Park,
Astoria Riverfront Trolley,Astoria to the Mooring Basin| Astoria| OR 97103,5,4.5,692,Romantic,Tramways,Astoria Riverfront Trolley,
Flavel House Museum,441 8th St| Astoria| OR 97103-4620,7,4.5,569,Romantic,Specialty Museums,A historical Victorian home turned museum.,
Fort Clatsop National Memorial,92343 Fort Clatsop Rd| Astoria| OR 97103-8701,4,4.5,848,Romantic,Historic Sites| National Parks,A replica of Lewis & Clark's original fort built during their expedition in 1805.,
The Lewis And Clark National And State Historical Parks,92343 Fort Clatsop Rd| Astoria| OR 97103-8701,3,4.5,345,Romantic,Historic Sites| Historic Walking Areas| National Parks,Located in the states of Washington and Oregon| these national parks preserve the historic sites that mark the success of Lewis and Clark in the early 19th century.,
Astoria Oregon Riverwalk,Astoria| OR,8,4.5,389,Romantic,Hiking Trails| Jogging Paths & Tracks,Astoria Oregon Riverwalk,
Young River Falls,Young River Road| Astoria| OR,15,4.5,45,Romantic,Waterfalls,Young River Falls,
Cathedral Tree Trail,2800 Irving Ave| Astoria| OR 97103-2815,14,4.5,53,Romantic,Hiking Trails,Cathedral Tree Trail,
Coronado Beach,Coronado| CA 92118,1,4.5,1412,Romantic,Beaches,Popular surfing beach.,
Coronado Island,1100 Orange Ave| Coronado| CA 92118-3407,2,4.5,2987,Romantic,Islands,A mere two-mile drive from cosmopolitan| downtown San Diego| across one of the world's most distinctive bridges| is Coronado Island - a world away. Developed in 1888 as a beach resort town| and home to the famous Hotel del Coronado| the island is...more,
The Coronado Ferry Landing,1201 1st St| Coronado| CA 92118-1462,6,4.5,213,Romantic,Shopping Malls,The Coronado Ferry Landing,
Coronado Dog Beach,200-298 Ocean Blvd| Coronado| CA 92118,4,4.5,200,Romantic,Beaches,Coronado Dog Beach,
Lamb's Players Theatre,1142 Orange Ave| Coronado| CA 92118-3428,3,4.5,190,Romantic,Theaters,One of San Diego's leading professional non-profit performing arts companies| presenting year round in its beautiful| intimate theatre in Coronado's iconic Spreckels Building.,
Downtown Coronado,Orange Avenue Between 10th Street and Dana Place| Coronado| CA 92118,11,4.5,41,Romantic,Points of Interest & Landmarks| Architectural Buildings| Scenic Walking Areas,Downtown Coronado,
Silver Strand State Beach,5000 Highway 75| Coronado| CA 92118-3299,8,4,458,Romantic,Beaches,One of the most beautiful beaches in the San Diego area| the Silver Strand Beach State Park is on the southern coast of Coronado.,
Centennial Park,Coronado| CA 92118,10,4,53,Romantic,Parks,Centennial Park,
Coronado Visitor Center,1100 Orange Ave| Coronado| CA 92118-3407,5,4.5,180,Romantic,Visitor Centers| History Museums,The Coronado Visitor Center is located in the lobby of the Museum of History and Art. This should be your first stop when you get to this charming and historic beach town. Friendly volunteers provide complimentary maps| brochures| discount tickets...more,
Spreckels Park,Orange Ave btwn 6th & 7th Sts| Coronado| CA 92118,9,4.5,116,Romantic,Parks,Spreckels Park,
Evergreen Aviation & Space Museum,500 NE Captain Michael King Smith Way| McMinnville| OR 97128-8877,1,4.5,1527,Romantic,Specialty Museums,Evergreen Aviation & Space Museum,
Willamette Valley Vineyards Tasting Room in McMinnville,300 NE 3rd St| McMinnville| OR 97128-4729,2,5,108,Romantic,Wineries & Vineyards,The Willamette Valley Vineyards Tasting Room in McMinnville provides an opportunity to experience the award-winning wines from one of Oregon's leading Pinot Noir producers right in the heart of Oregon wine country! Tasting flights include the Red...more,
Maysara Winery,15765 SW Muddy Valley Rd| McMinnville| OR 97128-8551,5,5,35,Romantic,Wineries & Vineyards,Maysara Winery,
Visit McMinnville,328 NE Davis St Ste 1| McMinnville| OR 97128-4749,10,5,30,Romantic,Visitor Centers,"Known as the ""Heart of Oregon Wine Country|"" McMinnville Oregon is world famous for both its viticulture and artisan dining experiences. McMinnville makes a great family-friendly getaway| too| with Oregon's only indoor water park & air museum....more",
Wings and Waves Waterpark,460 NE Captain Michael King Smith Way| McMinnville| OR 97128-8878,3,5,270,Romantic,Water Parks,Wings and Waves Waterpark,
Coeur de Terre Vineyard,21000 SW Eagle Point Rd| McMinnville| OR 97128-8555,7,5,24,Romantic,Wineries & Vineyards,Coeur de Terre Vineyard produces handcrafted| organically farmed| artisanal wines. Our estate tasting room and winery is located in the McMinnville foothills| minutes from downtown McMinnville. Come visit to taste and see what makes us an...more,
Yamhill Valley Vineyards,16250 SW Oldsville Rd| McMinnville| OR 97128-8546,9,5,36,Romantic,Wineries & Vineyards,Yamhill Valley Vineyards is the oldest winery in the McMinnville AVA. We grow| produce and bottle all of our own grapes right here at the vineyard. Yamhill Valley Vineyards is located on a 150 acre estate in the rolling foothills of Oregon's Coast...more,
Youngberg Hill,10660 SW Youngberg Hill Rd| McMinnville| OR 97128-8560,6,5,32,Romantic,Wineries & Vineyards,Youngberg Hill,
Elizabeth Chambers Cellar,455 NE Irvine St| McMinnville| OR 97128-4200,8,4.5,31,Romantic,Wineries & Vineyards,Elizabeth Chambers Cellars is a boutique winery specializing in handcrafted micro-regional Pinot Noir made in McMinnville| the heart of Oregon Wine Country. We invite you to start (or continue) your own love affair with Pinot Noir by discovering...more,
McMinnville City Park,140 NW Park Dr| McMinnville| OR 97128-5433,11,4.5,23,Romantic,Parks,McMinnville City Park,
Eyrie Vineyards,935 NE 10th| McMinnville| OR,12,4.5,29,Romantic,Wineries & Vineyards,Eyrie Vineyards,
R Stuart & Co.,528 NE 3rd Street| McMinnville| OR 97128-6213,4,4.5,48,Romantic,Wineries & Vineyards,R. Stuart & Co. is a winery specializing in Pinot Noir and Pinot Gris| located in McMinnville| Oregon. Winemaker Rob Stuart gathers the best fruit possible to make wines that are friendly and approachable for real people to enjoy with their...more,
Gallery Theater,210 NE Ford St| McMinnville| OR 97128-4620,13,4.5,18,Romantic,Theaters,Gallery Theater,
McMinnville Antiques Mall,334 NE 3rd St| McMinnville| OR 97128-4729,20,4.5,4,Romantic,Antique Stores,McMinnville Antiques Mall,
The Gallery at Ten Oaks,801 SW Baker St| McMinnville| OR 97128-6701,21,4.5,3,Romantic,Art Galleries,The Gallery at Ten Oaks is a delight to explore| spanning two full floors in a lovely 1908 Craftsman-style house. Representing 35 artists| this fine art gallery also offers Oregon wine to enjoy while browsing a diverse array of media — oil|...more,
Memorial to Yamhill County Soldiers of the World War,535 NE 5th St Yamhill County Courthouse| McMinnville| OR 97128-4531,18,4.5,7,Romantic,Points of Interest & Landmarks| Monuments & Statues| Government Buildings,Memorial to Yamhill County Soldiers of the World War,
Joe Dancer Park,1650 SE Brooks Street| McMinnville| OR 97128,19,4.5,6,Romantic,Parks,Joe Dancer Park,
Mason-Rivera Sculpture Garden & Art Gallery,20901 SW Caleb Payne Rd| McMinnville| OR 97128-8806,22,4.5,3,Romantic,Art Galleries| Gardens,3 1/2 acre beautifully landscaped garden is the backdrop for the abstract welded metal and stone sculpture by Cristi Mason-Rivera and Joe Rivera.,
Brittan Vineyards,829 NE 5th St Suite 700| McMinnville| OR 97128-4250,17,4.5,7,Romantic,Wineries & Vineyards,Veteran winemaker Robert Brittan of Brittan Vineyards is dedicated to making intense| unique| elegant and site-driven wines from his vineyard in the McMinnville AVA. Savory and character driven wines that speak of place. Come visit us and taste...more,
Wortman Park,2051 NE Lafayette Ave| McMinnville| OR 97128-9332,15,4.5,12,Romantic,Parks,Wortman Park,
Stone Wolf Vineyards,2155 NE Lafayette Ave| McMinnville| OR 97128-9334,26,4.5,3,Romantic,Wineries & Vineyards,Stone Wolf Vineyards,
Remy Wines,905 NE 10th Ave| McMinnville| OR 97128-4003,14,4.5,17,Romantic,Wineries & Vineyards,While the winery is still here| the tasting room has moved to the vineyard a few miles away. Occasionally we are around for tastings| but not often or reliably. Please visit us at 17495 NE McDougall Rd in the Dundee Hills 97114. Winemaker Remy...more,
Walnut City WineWorks,475 NE 17th St| McMinnville| OR 97128-3326,16,4.5,8,Romantic,Wineries & Vineyards,Walnut City WineWorks,
Cascade Soaring,300 SE Airport Rd McMinnville Airport| McMinnville| OR 97128,27,4.5,4,Romantic,Wineries & Vineyards,We offer rides with our FAA certified Commercial Pilots. Come experience what it is like to fly without the need of a motor. You and your pilot will soar above the Willamette Valley and see all there is to see. On the right days one can see all of...more,
Liquid Light Glassworks,19630 Hyw 18 SW| McMinnville| OR 97128,30,4.5,5,Romantic,Art Galleries,Liquid Light Glassworks is a small glassblowing studio and gallery just off of hwy. 18 next door to the Lawrence gallery 8 miles south west of Mcminnville. We offer fine art| live glassblowing demonstrations. We love to have people come in and...more,
McMinnville Community Center,600 NE Evans St| McMinnville| OR 97128-3924,23,4.5,3,Romantic,Civic Centers,McMinnville Community Center,
J.L. Kiff Vineyard,13546 NW Willis Rd| McMinnville| OR 97128-8048,24,4.5,2,Romantic,Wineries & Vineyards,Visit a family-run winery that is off the beaten path| even though it is the closest estate winery to McMinnville| OR. The Pinot Noir vineyard is steps from the winery. Your visit is led by owners/winemakers Joel and Laurie Kiff. Taste wines from...more,
Wednesday Wines on 3rd St,,25,4.5,4,Romantic,Wineries & Vineyards,,Wednesday Wines on 3rd St| McMinnville
Yamhill County Valley Heritage Center,11275 SW Durham Ln| McMinnville| OR 97128-8608,28,4.5,1,Romantic,History Museums,See antique farm| logging| and other historical equipment. Learn about the stories behind them from our knowledgeable docents.,
Currents Gallery,532 NE 3rd St| McMinnville| OR 97128-6213,29,4.5,2,Romantic,Art Galleries,Fine arts and crafts gallery in Historic Downtown McMinnville| Or. Artist owned gallery| serving the community for 13 years. Representing the work of 70+ local artists. Displaying for sale: oil| acrylic| pastel| mixed media and fiber wall art....more,
La Jolla Cove,1100 Coast Blvd| La Jolla| San Diego| CA 92037-3600,1,4.5,13453,Romantic,Beaches| Parks,San Diego's most desirable spot for swimming| diving and snorkeling. The water is calm and the cove is ecologically protected. There is also a world famous dive site that is located in the La Jolla ecological preserve.,
Mt. Soledad National Veterans Memorial,6905 La Jolla Scenic Drive South| La Jolla| San Diego| CA 92037,2,4.5,2448,Romantic,Historic Sites| Points of Interest & Landmarks| Monuments & Statues,Mt. Soledad National Veterans Memorial,
La Jolla Shores Park,8300 Camino del Oro| La Jolla| San Diego| CA 92037,7,4.5,2695,Romantic,Beaches| Parks,Mile-long beach features gentle waves during the summer months| making this spot a prime spot for novice scuba divers.,
